,text,label,label_num
55,sekarang bawaslu malah kes benar giat paslon 2 kunjung prabowo cilincing warna bagi2 uang 100rb anggap kunjung menhan bawaslu serah klean lah,Politik,1
56,pak prabowo tipe orang lebih suka tunjuk bukti kerja dar omong kosong belaka kinerjabukanomonomon,Politik,1
57,abah anies angkat martabat tani terus terus terima bansos hasil cukup aminajadulu,Sosial Budaya,6
58,jawab pak anies luar prediksiulama madura jawa timur kagum kagum pak anies bahkan ulama madura nama bapak kyai fattah aku kalah simak jawab pak anies acara cifp 2023 lalu,Politik,1
59,nelayan butuh tindak nyata ganjar pranowo mahfud md sama hadir solusi baik nelayansolusinyata jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik,1
60,waktu anies sikap kritis kerja pak prabowo anggap engga sopan anggap kurang hormat orang tua gilir gibran tengil sok kritis malah anggap kritis keras standar ganda,Politik,1
61,ganjar pranowo tindak positif tunjuk berani jaga aman nasional dukung cyber force ganjarmahfudm3nangdebat ganjarmahfud2024 coblos3,Pertahanan dan Keamanan,3
62,batam hari pecah suasana pasar tos 3000 batam pak anies baswedan kunjung warga sambut teriak anies presiden,Politik,1
63,bukan cuma debat malam pak mau buka2an imformasi tahan rdp komisi dpr beliau tolak rapat buka tahan rapat tutup ngadepin 2 capres sok mungkin buka,Pertahanan dan Keamanan,3
64,anies prestasi jakarta banyak sekali gemilang walaupun dukung perintah pusat cenderung hambat framing jahat anies kerja,Politik,1
65,konsisten lama suara lawan radikalisme intoleransi pilih prabowo nyata cuma omon omon anggap tokoh paling toleran masyarakat lintas etnis kalbar kompak dukung ganjar pontianak ribu masyarakat lintas etnis sekalimantan barat kumpul hotel golden tulip pontianak rabu 3112014 wakil tokoh dayak tionghoa papua jawa mang batak madura lain selamat datang kota khatulistiwa pak ganjar sangat bangga bapak datang sini ucap beberapa tokoh adat etnis sambut ganjar ketua dewan bina dewan adat daerah dad kalbar ketua tim menang daerah tpd ganjar mahfud kalbar lazarus kata masyarakat kalbar sangat antusias sambut ganjar hadir tokoh ketua organisasi etnis tempat jadi bukti sepakat dukung ganjar mahfud semua tokoh adat kumpul sini wakil seluruh organisasi kelompok etnis adat kalimantan barat semua dukung pak ganjar siap menang bapak kalbar ucap lazarus sambut ria kompak ribu masyarakat adat kalbar ganjar presiden ganjar mahfud menang menang menang teriak kompak orang tokoh adat dayak henusa kata masyarakat lintas etnis kalbar kompak dukung ganjar anggap tokoh paling toleran lama jadi anggota dpr ri gubernur jateng periode ganjar laku harmonisasi idola dukung pak ganjar jadi presiden 2024 tangan beliau kasuskasus intoleransi indonesia hilang ucap ganjar sambut baik dukung masyarakat lintas etnis kalbar ucap terima kasih turut apa hasil pilpres datang toleransi indonesia terus jaga kalbar contoh daerah paling toleran mana kalbar satu kota nobat kota paling toleran indonesia singkawang ucap,Demografi,2
66,koneksi internet jadi butuh pokok masyarakat indonesia jalan aktivitas seharihari paslon 03 ganjarmahfud tegas komitmen hadir internet kuat cepat murah seluruh masyarakat indonesia ganjarmahfud2024 sahabatganjar,Ekonomi,5
67,jaua suparna baru tahu anies s1 fakultas ekonomi s2 bijak uang s3 political ekonomi amp bangun,Ekonomi,5
68,isu palestina penting prabowo pihak amp peduli tegak konstitusi makin lihat watak asli,Politik,1
69,acara mulai dukung anies ramai lokasi kampanye,Politik,1
70,penting jadi bangsa selalu syukur menatamasadepan bersamaprabowogibran prabowogemoy prabowogibran,Politik,1
71,butuh jaga tni al kuat kibar merah putih tegak daulat negara kata menhan prabowo,Pertahanan dan Keamanan,3
72,kerja pak prabowo bukan fokus modernisasi alutsista beliau nilai dorong kembang industri tahan negeri industripertahananbelaprabowo,Pertahanan dan Keamanan,3
73,mau cuma batas wacana mending udah punya langkah nyata kayak pasang ganjar pranowo mahfud md 2024jokowidigantiganjar jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik,1
75,duo bapak bangsa ganjar pranowo prof mahfud punya program bikin indonesia lebih baik yuk pilih bawa solusi nyataganjarmahfud taat hukum jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik,1
76,menkominfo budi arie bela prabowo sebut data tahan sifat rahasia,Pertahanan dan Keamanan,3
77,anies jelas referensi jkw kata capres 02 ajar seluruh rakyat indonesia kata goblok tolol janji kembali tanah 2019 sekarang bilang sama,Politik,1
78,calon presiden ri urut 3 ganjar pranowo mainmain jaga konstitusi atur dasar negara percaya padanyajnk ganjarmahfudrebound ganjarpranowopilihanumat,Ideologi,4
79,gibran kata jumlah masalah pupuk internet jalan lubang menatamasadepan bersamaprabowogibran prabowogemoy prabowogibran,Politik,1
80,hadir tantang kpk sampai komitmen berantas korupsi indonesia 2024 majalengka majalengka beiqnh5xqr ganjar mahfud hebat 3gm coblos687,Politik,1
81,capres ganjar pranowo yakin konstitusi atur dasar negara dasar adil pegang teguhjnk ganjarmahfudrebound ganjarpranowopilihanumat,Ideologi,4
82,anies baswedan proxy us dukung yaman fpi abu bakar baasyir freemason mau bangun khilafah disupport kader nu muhamadiyah enggak lupa dukung komunitas cinta perkutut kolaborasi sjw feminism masmas roh celana cingkrang kpoper,Ideologi,4
83,pilih capres ganjar pranowo keren jangan pilih pimpin sulit kendali emosi cipta ketidakpastian kalang masyarakat jn18a jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik,1
84,anies prestasi nasional maupun internasional lihat video prestasi prabowo korupsi food estate amp anggar kemenhan prabowo singgung banyak orang pandai bicara kerja sindir anies umatislampilihamin umatislampilihamin,Politik,1
85,capres nomor urut 1 anies baswedan jelas kena geser tuju substitusi import kata pasti sebut jaga anies baswedan kata siap ekosistem industri jadi pasar konsumsi jadi sentra produksi global harap muncul giat ekspor perihal tingkat komponen negeri anies kata tingkat tahap simak video lengkap nanti live eksklusif dialog capres sama kadin sesi iii prabowo subianto jumat 12 januari 2024 pkl 09301130 wib live tvone live streaming youtube tvonenews hardnews politik newsone cariberitaditvone aniesbaswedan politik tvonetvpemilu kamikabarkanandaputuskan maumemilih capres cawapres pemilu2024 pilpres2024,Ekonomi,5
86,momen capres nomor urut 3 ganjar pranowo besuk rawan korban aniaya oknum tni boyolali tak tanya kondisi tanya kronologi jadi hingga rawan dukung pukul minta aparat aman masuk institusi tni tangan jadi ganjarmahfud2024 l3bihbaik,Pertahanan dan Keamanan,3
87,palestina tindas gk punya kuat militer palestina lemah buku mau biar paham vatikan gk punya kuat militer berani tindas gk analogi bukan kuat militer pak palestina gk lemah gk pernah lemah lemah sistem kampret mana pbb diam jadi genosida langgar ham berat berani nuntut den haag afrika selatan,Pertahanan dan Keamanan,3
88,rstmbcl sama santri riang gembira 2024 ganjar mahfud md ganjarmahfud2024 jauh dusta amp emosional ganjar mahfud hebat l3bihbaik mahfudlebihbaik3 ganjarmahfud2024 sikat kkn,Politik,1
89,media asing new york times tulis prabowo menang demokrasi indonesia mati,Politik,1
90,sama beda jnk solid dukung ganjar pranowo mahfud md pilih baik pilpres 2024ganjarmahfudrebound ganjarpranowopilihanumat 2024jokowidigantiganjar,Politik,1
91,inget video udah pernah liat blm perhati tangan pak anies mungkin buat bagi orang mah biasa hal2 kecil begini bikin,Politik,1
92,anies baswedan mas bowo punya wawas capres ganjar pranowo punya prestasi nyata lihat pilih pimpin dasar hasil kerjajn19x6 jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik,1
93,pikir kait program makan siang gratis subsidi susu upaya politik prabowo nilai potensi rugi uang negara korban sektor didik bantu sosial,Politik,1
94,anies janji buat regulasi hapus diskriminasi usia syarat lowong kerja temponasional,Politik,1
95,dukung rakyat terus alir prabowogibran siapa lawan kosongduasatuputaran rakyatsenang 02menang,Politik,1
96,anies kreatif bawa isu penting panggung pilpres,Politik,1
97,prabowo subianto tanya naik air hujan adi benar situasi memang tekan sulit dapat air bersih masalah utama indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas,Sumber Daya Alam,0
98,legislasi inisiasi ganjar pranowo mahfud md tuju cipta adil gender lebih baik tempat kerja tingkat sejahtera ekonomi perempuanganjarmahfudrebound jnk,Ekonomi,5
99,capres cawapres ganjar pranowo mahfud md pesan semua terus jaga konstitusi atur dasar negara landas bangsaganjarpranowopilihanumat,Ideologi,4
100,dukung lihat kerumun anies rupa dukung beri hadiah upa cenderamata mantan gubernur dki jakarta,Politik,1
101,jadi pilih rasional banding rekam jejak rekam karya pesan abah acara desak anies yogyakarta aminajadulu,Politik,1
102,2024 semua saksi ubah pimpin penuh harap ganjar pranowo emban tugas belum jalan jokowiganjarmahfudrebound ganjarpranowopranowopilihanumat jnk,Politik,1
103,sama jnk punya kuat bawa ubah positif dukung ganjar pranowo mahfud md pilpres datang jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik,1
104,anak muda indonesia future nation hand time change anies presidentsampaikan sampai teman lain saat adu ide amp gagasantunjukan karyakarya pak anies ubah indonesia lebih baik,Ideologi,4
105,video bawah ambil tahun 2017 2019 2022 bukti rembug ganjar laku sejak lama rutin laku bukti ganjar selalu libat masyarakat cari solusi atas soal hadap rembuganjar hapus kredit macet libat masyarakat subjek bangun rembuganjar bijak ambil sesuai soal hadap rakyat kecil makan siang gratis program keluar elit rakyat kecil solusi mutih kredit macet hapus utang nelayan tani rupa hasil rembuganjar bijak timbul efek rakyat rembuganjar rakyat jadi subjek bukan objek bangun jalan bijak,Sosial Budaya,6
106,gue speechless amp bener2 merinding fenomena pendukung2 anies militan bikin spanduk karung pasang jembatan lenteng agung bikin fandom x macam anies bubble beneran keren sumpah moga arus ubah bawah hasil gemilang,Sosial Budaya,6
107,parah loe mba bukti ganjar anies ngolok2 kuat militer indonesia jgn mentang2 demokrat dukung garis kuasa,Politik,1
108,banyak platform bikin anies awal 2023 nama bawa ide 5000 pemuda daftar amp 100 pilih presentasi gagas sesuai background masing2 anak2 muda ajak ikut tampil bukan cuma diam amp bebek,Ideologi,4
109,cerita pasang pak mahfud md pak ganjar pranowo buat percaya semangat dwi tunggal sama wujud impi besar jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik,1
110,vidio bagi 5catatan buat dukung wowo pak anies pernah minta gurbernur,Ekonomi,5
111,tolol bilang anies baswedan serang personal prabowo orang arti paham definisi serang personal serang personal serang fisik anak inti sangkut personal anies serang kerja prabowo jadi menhan lama 4 tahun dungu,Politik,1
112,bersamasama dukung prabowo wujud ubah ingin warga jabar jabartetapuntuk02 berbuatbaik untukmasyarakat,Politik,1
113,yakin milih ganjar pranowo capres 3 wujud masa depan indonesia lebih baik ganjar mahfud hebat l3bihbaik 3gmganjarmahfud2024 resolusi indonesia,Politik,1
114,3 orang tembak rawan prabowo bekuk polda jatim satu antara kepala desa,Pertahanan dan Keamanan,3
115,menhan prabowo subianto sanjung pimpin bupati arief rohman laku kunjung kerja blora kata radar kudus radar kudus indonesiakuatindonesiamaju diplomasiprogresif02 02melanjutkan,Politik,1
116,bulan januari serang kubu dkk makin sengit masuk doxxing akun akun sosmed harap cepu grup login tutup bagi informasi counter serang jangan biar 02 kuasa asal bukan prabowo,Pertahanan dan Keamanan,3
117,gibran klaim food estate singkong prabowo panen greenpeace 3 kali lokasi,Politik,1
118,full nyata prabowo usai debat capres kecewa narasi paslon  capres nomor urut 2 prabowo subianto aku kecewa narasi pasang calon presiden nomor urut 1 anies baswedan capres nomor urut 3 ganjar pranowo debat capres minggu 712024 sedikit kecewa kualitas utama narasi sampai paslonpaslon data banyak salah keliru dua data tahan mau pakai cari poin politik negarawan ujar prabowo simak lengkap video ikut temu bagai informasi baru lain kanal youtube kompastv debatcapres pemilu2024dikompastv,Politik,1
119,anies janji bangun jalan produksi hubung sentra produksi tani pasar jawa barat,Sumber Daya Alam,0
120,peran damai rusia ukraina ingat kunjung presiden kiev moskow tiga bulan pasca perang pecah lagak mau damai kubu seteru malah duga manfaat agenda negara penting pribadi pasca lobi2 hashim adik prabowo tender kirim gandum jagung ukraina,Politik,1
121,bersamajagad3mokrasi demokrasi ala ganjar smg aspirasi rakyat jalan,Politik,1
122,temenku dukung prabowo bilang wajar prabowo kena kasus ham kan militer arti analogi wajar dong militer laku langgar ham rakyat sipil,Politik,1
123,anies sebut tara didik jadi salah satu juang,Ideologi,4
124,wowkampanye akbar capres pasang 1 anies baswedan gor parung bogor aminajadulu indonesia people deserve better,Politik,1
125,pupuk subsidi langka tim prabowo gibran buat posko salur pupuk subsidi tani solar subsidi langka tim prabowo gibran buat posko salur solar subsidi nelayan beras mahal tim prabowo gibran ikan bansos beras terus negara ngapain,Ekonomi,5
126,calon wakil presiden nomor urut 3 mahfud md nyata laju deforestasi gundul hutan indonesia rupa tinggi dunia indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam,0
127,buat lawan framing anies jual politik identitas,Politik,1
128,bulan januari serang kubu dkk makin sengit masuk doxxing akun akun sosmed harap cepu grup login tutup bagi informasi counter serang jangan biar 02 kuasa asal bukan prabowo,Pertahanan dan Keamanan,3
129,jadi abah anies pimpin republik citacita semua love abah aminajadulu aniesmuhaimin2024,Politik,1
130,orang papua harap pak anies presiden,Sosial Budaya,6
131,fakta aku alami lapang aku selalu tanya kenalankenalan aku temuiteman lama teman kampus bahkan beberapa orang laintentang pilih capres 90 dukung prabowo kuta alas jawab putar gimmickgimmick laku tim 02 paham gagas visimisi capresnya aku mejudge bagi sahsah hak warga negara buat pilih alas apa seperti indonesia butuh waktu pimpin orangorang punya gagas hebat gagas detail gagas tumbuh iring kembang zaman memang butuh waktu panjang angkat pimpin cerdas punya wawas luas okay umur indonesia panjang negeri terlalu muda erti apa meritokrasi,Politik,1
132,anies baswedan lama sblm aktif politik malah laku blusukan seluruh pelosok wilayah maju dunia didik negeri cinta,Politik,1
133,sejak 2010 kerja papua barat kirim guruguru pelosokpelosok papua orang mau datang sinyal listrik kata capres 01 anies baswedan,Politik,1
134,kapitalisme neoliberal tak cocok indonesia kata prabowo kalimantan tengah menangseputaran,Ideologi,4
135,yakin pak ganjar punya informasi soal mamat gunshop buka publik mamat gunshop terlalu riskan jadi tahu masyarakat global kena sistem tahan rasa pak ganjar malam andal,Pertahanan dan Keamanan,3
136,diri beri dukung prabowo subianto jadi pimpin prioritas penting rakyat kecil indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas prabowo subianto,Politik,1
137,kiki daliyo ganjar pranowo sikap tegas laku situ ganjarmerawatpancasila bentuk cinta bangsa indonesia mahfud hebat l3bihbaik mahfudlebihbaik3 ganjarmahfud2024 lulus kerja,Ideologi,4
138,capres nomor urut 3 ganjar pranowo tanggap politikus pdip rieke diah pitaloka ganjar mahfud hebat coblos3 3gm ganjarmahfudm3nangdebat debatcapres,Politik,1
139,hadir konser indonesia maju tulungagung tom gandhi prabowogibran optimis menang satu putar indonesiakuatindonesiamaju diplomasiprogresif02 02melanjutkan,Politik,1
140,anies saking program oke semua orangorang fear mongering black campaign beliau isu masa lalu mana beliau sendiri libat dalam validitas cerita bukti arang anon stop guys nasty,Politik,1
141,tak banyak sadar anies aga gera attack titan tutup debat pilpres tiga momen anies meraga gera anime attack titan kepal tangan kanan silang dada tangan kiri ambil gera belakang gera istirahat tempat biasa gera laku pasu pembebesan anime attack titan hendak perang lawan musuh bahasa jepang gera selalu serta ria shinzou wo sasageyo arti abdi hati harfiah konteks attack titan arti seluruh pasu siap mati bebas,Sosial Budaya,6
142,sekali prabowo ngomong hilir debat 1 helai rabut ganjar hitam,Politik,1
143,bulan januari serang kubu dkk makin sengit masuk doxxing akun akun sosmed harap cepu grup login tutup bagi informasi counter serang jangan biar 02 kuasa asal bukan prabowo,Pertahanan dan Keamanan,3
144,fakta baru komunikasi ingat apa usut tuntas rakyat tahu netralitas tni benar kawal ganjar mahfud tuju menang ganjarmahfud2024 44 hari tuju menang ganjarmahfudm3nang l3bihbaik,Politik,1
145,pupuk subsidi langka tim prabowo gibran buat posko salur pupuk subsidi tani solar subsidi langka tim prabowo gibran buat posko salur solar subsidi nelayan beras mahal tim prabowo gibran ikan bansos beras terus negara ngapain,Ekonomi,5
146,abah anies angkat martabat tani terus terus terima bansos hasil cukup aminajadulu,Sosial Budaya,6
147,masyaallah moga beri lancar sehat istiqomah juang pilpres aamiin rabb paslon paling sangat serius hadap pilpres adu gagas belanja issue grassro,Politik,1
148,medan bung anak medan rantau jakarta pulang rumah panggil orang tua tak perlu banyak kata prabowogibran kerja nyata prabowogibran2024 prabowogibranmenangsatuputaran,Politik,1
149,siapa tuch blg gaza lemah iya si prabowo balik normalisasi israel,Politik,1
150,malam ganjar ambil untung cukup besar tinggi tensi 2 capres lain moga rakyat tetap cerdas paham makna debat dua anies serang prabowo lembaga negara bukan pribadi sedang prabowo sangat tendensius amp personal,Politik,1
151,bulan januari serang kubu dkk makin sengit masuk doxxing akun akun sosmed harap cepu grup login tutup bagi informasi counter serang jangan biar 02 kuasa asal bukan prabowo,Pertahanan dan Keamanan,3
152,capres cawapres ganjar pranowo mahfud md ajak semua pihak satu jaga konstitusi atur dasar negarajnk ganjarmahfudrebound ganjarpranowopilihanumat,Ideologi,4
153,sakaria wielgosz sorot penting fokus ganjar mahfud umkm anggap fondasi kuat tumbuh ekonomi lanjut ganjar pranowo kamu hak dapat baik ganjarpresidenrakyat ganjarmahfud2024 m3nangdebat4 coblos3,Ekonomi,5
154,calon presiden capres nomor urut 3 ganjar pranowo kampanye karawang jawa barat jumat ucap ganjar ganjar mahfud hebat l3bihbaik mahfudlebihbaik3 ganjarmahfud2024 lulus kerja,Politik,1
155,momen capresku jenguk rawan ganjarmahfud korban aniaya oknum tni korban slamet andono cerita diri seret jalan raya bawa masuk markas batalyon 408 kemudian situ pukul 5 oknum tni miris ganjarmahfud2024,Pertahanan dan Keamanan,3
156,al fatihah buat alm lambang babar purnomo alumnus arkeologi ugm duga bunuh saksi kasus curi palsu arca museum radya pustaka libat hashim djojohadikusumo adik prabowo,Pertahanan dan Keamanan,3
157,akhirnyaaaaaaa adsnya abah bukan mol titik baru ads abah gemes anies rounder anies 8th gen boy anies 8th gen leader spotabahanies pahitmaniesalwayswithanies,Politik,1
158,jogetjoget memang senang pemuda perlu programprogram beri solusi nyataseperti program pasang capres ganjar pranowo mahfud md ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik,1
159,peta komoditas milik ganjar jendela kaya alam milik indonesia jendelakekayaan jnk ganjarmahfudrebound ganjarpranowopilihanumat,Sumber Daya Alam,0
160,pdip tanggap jokowiprabowo makan malam dua detikbali indonesiakuatindonesiamaju diplomasiprogresif02 02melanjutkan,Politik,1
161,ayo tanam benih ubah pilih ganjar pranowo ajak anakanak muda sama cipta indonesia lebih maju ganjartanamperubahan jnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik,1
162,dengar prabowo subianto calon presiden nomor urut 2 janji cari solusi atas masalah sebut indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas prabowo subianto,Ekonomi,5
163,umum diri dukung aniesmuhaimin janji tirta amin menang pilpres 2024,Politik,1
164,sama rencana evaluasi uu ite ganjar pranowo mahfud md wujud bebas dapat berkeadilanjnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik,1
165,masyarakat makin percaya elektabilitas prabowogibran terus tingkat makin yakin pilpres satu putar menang 02pilihanterbaik,Politik,1
