,IDText,text
59,TXT0060,jawab 1 bukan bukti adil ungkap bukti putus dkpdewan hormat perwira isi pecat prabowo subianto nyata salah atas langgar ham pecat mau adil beliau kabur jordania
60,TXT0061,aku nang bangettt bagi janji udah realisasi anies malah dihalanghalangi pj gubernur enggak tuju apa derita rakyat kecil
61,TXT0062,umur alutsista sama modernisasi laku prabowo miss shot alas f15 f16 operasi 50 tahun hingga masa depan operasi lama emang supportnya program overhaul nama mlu midlife upgrade situ overhaul airframe entah dar nambal ganti mesin selalu diswap bukan masalah besar akhir prabowo gagal menyebubkan gimana transisi alutsista rusia tuju barat beri mudah bahkan sejahtera tni
62,TXT0063,pilpres 2024 bukti prabowo jokowi helat pilpres 2024 jadi buah taruh bukti prabowo jokowi prabowo pilpres 2024 sempat besar jadi presiden ri gandeng gibran rakabuming prabowo dapat dukung penuh jokowi ini sempat besar mungkin sempat akhir prabowo menang pilpres lawan besar prabowo bukan anies baswedan maupun ganjar pranowo garis tangan prabowo harap gandeng gibran dukung jokowi tulis garis tangan baru prabowo pilpres jadi bukti jokowi sangat yakin jokowi jadi kuat politik baru pasca akhir masa politik sepuh politis megawati jusuf kalla surya paloh bahkan prabowo lihat terangterangan jokowi dukung prabowo jokowi tidak mungkin dukung anak gibran cawapres prabowo jokowi lama nilai sosok lebih besar pdi juang megawati soekarnoputri jadi pilpres 2024 milestone politik buah titik jokowi benarbenar jadi kuat baru kancah politik malah gagal jadi gelandang politik amien rais usaha besarbesaran laku capai satusatunya sempat menang pilpres menang satu putar gagal satu putar mungkin menang kecil beri peluang lebih besar lawan lawan ganjar mahfud beberapa waktu depan lihat situasisituasi wajar kredibel profesional selenggara milu bahkan ajaib jadi luar biasa mahkamah konstitusi kuat apa usaha laku prabowo jokowi percaya garis tangan pihak prabowo menang pernah raih cuma harap nanti putus beri menang prabowo gibran jadi rusuh moga kali prabowo legowo ajar pilpres 2019
63,TXT0064,janggal post 1 post bau counter opini rame papua 2 akun perintah sattt bisa dipake buat nyebokin capres 3 prabowo mana anjirrrr
64,TXT0065,hajat demokrasi indonesia bulan depan demokrasi penting bro ayo pasti penting demokrasi pilih ganjar pranowo ganjarmahfudrebound ganjarpranowopilihanumat jnk
65,TXT0066,insentif pajak ganjarmahfud picu lahir lebih banyak startup kualitas happy new year ganjarmahfud2024 3mandatganjarmahfud l3bihbaik
66,TXT0067,orang lupa usia kata korupsi kecil apa biar pungut liar sekolah upeti polisi jalan licin kantor perintah segala macam pungut potong hak orang kecil prabowo tak pernah rasa
67,TXT0068,ubah frontal segala penjuru nusantara anies amin 1 siap lampias bagi besar petinggi negara biar langgar milu bahkan lawan amp lengser rezim ampas rempang wadas
68,TXT0069,soal etika bukan serang personal jabat publik bagi integritas situ serang luas tanah asai prabowo 2019 bukan personal bagi isu konflik penting jabat akses bisnis makanya jangan nepotis
69,TXT0070,capres nomor urut 3 ganjar pranowo bentuk lembaga coast guard jaga pantailaut kelak tang pilih presiden pilpres 2024 ganjar bentuk coast guard beres jadi tumpang tindih antar lembaga negara tangan laut pdiperjuangan ganjaruntuksemua ganjarpresiden menangkanganjar nomor3pilihanku ganjarmahfud2024 ganjarsatset mahfudtastes
70,TXT0071,berantas korupsi bukan sekadar tuntut komitmen indonesiasentris 02melanjutkan anakmudaindonesiaemas prabowo gibran tindak indonesiasentris 02melanjutkan anakmudaindonesiaemas menangseputaran
71,TXT0072,tetep koalisi pdip fakta ppp pecah koalisi mungkin sengaja bikin statement pindah dukung bunuh jongos pdip disalahin prabowo pantes tolol rupa kau orang jogja urus dulu klitih memang tempat kampung
72,TXT0073,dulu prabowo mahasiswa 98 gitu butuh demokrasi sini dek ketemu dulu buka data lalu hilang
73,TXT0074,al fatihah buat alm lambang babar purnomo alumnus arkeologi ugm duga bunuh saksi kasus curi palsu arca museum radya pustaka libat hashim djojohadikusumo adik prabowo
74,TXT0075,emang keren debat ayahbowo adalahkita serang pilih neagarawan tak serang balik teman diskusi munculfenomenapakbowo dukungantulus untuk02
75,TXT0076,inspiratif pasang capres cawapres ganjar pranowo mahfud md buka peluang bisnis lokal kredit 35 koprasi umkm sukses terus usaha kecil nct wish jnk ganjarmahfudrebound ganjarpranowopilihanumat
76,TXT0077,kata pak anies pecat posisi mendikbud korupsi bener nah bingung asumsi liar mending simak dulu fakta
77,TXT0078,ganjarmahfud pilih tepat wujud sejahtera sektor tani ikan happy new year ganjarmahfud2024 3mandatganjarmahfud l3bihbaik
78,TXT0079,tanya soal etika prabowo bilang anies tak pantas bicara etik beri contoh baik
79,TXT0080,promosi ganjar akuntabilitas cipta perintah transparan akurat
80,TXT0081,mampu diplomasi prabowo lihat laku kerjasama amerika serikat suplai 24 jet tempur f15ex 24 helikopter tempur sikorsksy s70 black hawk prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto
81,TXT0082,garda samud3ra garda depan cermin sungguh ganjar pranowo jaga aman stabilitas wilayah maritim ganjarmahfud2024 dulujokowisekarangganjar coblos3
82,TXT0083,kala anies curhat pernah marah perintah pusat terap psbb covid19 panggil datang
83,TXT0084,mulutmanies enggak mau terima prabowo jeli belanja alutsista dukungantulus untuk02 penasaran bebas ptn top 10 menhan nyebokin nangisin goblok pt tmi
84,TXT0085,bu sri mulyani sasar gagal prabowo kelola anggar tahan untung punya menteri uang keren smi tahu mana gunting beres mana terus penting buat masa depan indonesia ganjarmahfud2024
85,TXT0086,sama pak ganjar pak mahfud insya allah mampu putus rantai miskin indonesia lewat program2 unggul
86,TXT0087,ingin prabowo gibran indonesia diri kaki sendiri manfaat kaya bangsa sejahtera rakyat produksi barang2 butuh sendiri login
87,TXT0088,prwakilan tokoh hindu tamil aju bangun tmpat ibadah era pk jokowipk ahok era pk anies akhir mrek pya tmpat ibadahdi mnit 1130 bpk wakil hindu tamilbilang akhir mreka rasa pancasila bhineka tunggal ika
88,TXT0089,debat politik adu argumen adu data klarifikasi depan publik contoh data minta jelas prabowo lupa jawab alas waktu sempit mahfud jelas anggar bukan rahasia negara debatcapres
89,TXT0090,ganjar bagus dukung anggar tahan 12 pdb eksekusi senjata hiprrsonik senjata quantum terlalu jauh pak wkwkwkw
90,TXT0091,alhamdullilah dukung pak prabowo biar jabat sejahtera gaji naik gpp rakyat sengsara pajak naik penting jabat sejahtera gaji naik gaji puluh juta ratus juta serta tunjung kurang kalian rakyat biasa sorry yee sorry ye
91,TXT0092,ganjarmahfud pasang komitmen tingkat sejahtera semua lapis masyarakat happy new year ganjarmahfud2024 ganjarmahfudm3nang l3bihbaik
92,TXT0093,mungkin alas pandji tuju pak anies nyapres ken pak anies jabat gubernur 2 periode buat resin ketidakadilan2 kyk gin harap pak anies menang pilpres balikin hak warga kp bayam
93,TXT0094,coba sebut langgar apa laku anies konstitusi atur kpu hukum adat standar etika siapa kalian pakai tidur nyalahin anies cuma terima nyata prabowo bad perform debat capres
94,TXT0095,rakyat tuntut jokowi tegur 6 pemda larang anies kampanye ingat pak presiden anies cak imin laksana kampanye sesuai konstitusi uu laku kpuberjamaahjegalanies kpuberjamaahjegalanies rakyat muak kpu jokowi curang terus
95,TXT0096,skenario riil tak bayang bahkan tiga bulan lalu lima tahun sekarang anies jadi figur karismatik oposisi megawati dulu zaman orde baru
96,TXT0097,pasang duet capres cawapres ganjar pranowo mahfud md inspirasi laku umkm kredit 35 langkah cerdas sukses terus temanteman bisnisjn18c1 jnk ganjarmahfudrebound ganjarpranowopilihanumat
97,TXT0098,debat capres pertama ganjar tegas jaga demokrasi sikat korupsi bengis ganjar mahfud hebat coblos3 3gm pimpin indonesia ganjarmahfudm3nangdebat
98,TXT0099,beda responnya bicara program selalu apresiasi debat ngomong wartawan jelas apa hati diutarain ngomongin tahan depan umum bahas anggar segala komisi sangat berhati2 sampai kait tahan negara
99,TXT0100,mundur demokrasi asal bukan prabowo
100,TXT0101,gua inget pm kanada tegur sama xi jinping bocorin dialog xi jinping gasuka terlalu oversharing beberapa penting memang gaboleh dibocorin andai pak prabowo ngasih mungkin banyak makin respect beliau
101,TXT0102,prabowo patah klaim ganjar terus jokowi
102,TXT0103,prabowo taking gaza example lemah tindas definitely dgaf
103,TXT0104,anis suka amerika cs alat demokrasi adil harga diri bangsa menoton ganjar benah sistem administrasi enak dengar dongeng tidur mahfud hebat mahfudlebihbaik3 ganjarmahfud2024 3mandatganjarmahfud l3bihbaik happy new year
104,TXT0105,anis dijanjiin kursi tri wong anak prabowo
105,TXT0106,abah anies baswedan tanggap soal temu beliau warga kampung bayam ikat bukan dar ikat gubernur saudara bangsa saling asih nakesdesakanies
106,TXT0107,rakyat lihat wajah uzur jendral lelah tekan berat gendong bocil anak haram mk debat serang tajam lawa utama anies sorot sikap etika prabowo terima bocil anak haram mk bastardo aniesikongenzmilenial aniesikongenzmilenial
107,TXT0108,salam kopi joni prabowogibran dong guys prabowo gibran prabowogibran mendingprabowo terusmajubersamaprabowo dekade08 bersamaindonesiamaju debatcapres debatcapres2024 pertahananri istorasenayan kpu kpuri debatketiga diplomasiprogresif02 jokowi
108,TXT0109,ganjar pranowo mahfud md hadir solusi nyata tingkat sejahtera tani nelayan ternak lalu bijak dagang dukung produk negeri happy new year ganjarmahfud2024 3mandatganjarmahfud l3bihbaik
109,TXT0110,baik prabowo mundur tak prestasi terus memuji2 prestasi jokowi sebrbernya prabowo gagal mana2 jendral pecat food estate gagal kemenhan amburadul bahkan duga korupsi jumbo biaya kampanye paslon02wajibdidiskualifikasi
110,TXT0111,anies presiden tnipolri asn tahan 1 sedia rumah dinas 2 naik gaji tahun 3 sejahtera lain
111,TXT0112,tweet gk nyuruh kalian vote anies cuma demand jangan diskredit gagas seakanakan hes got nothing offer jangan biarin benci asumtif muncul ragu gausah pilih partai islam pas pilih legislatif demokrasi
112,TXT0113,kan pak anies gencar jgn takut buat muka dapat beliau sendiri selalu ngasih contoh sebenernya
113,TXT0114,ganjar mahfud hebat 3gm coblos3 dulujokowisekarangganjar ganjarmahfud2024 berantas kkn pungli sejahtera kaum buruh indonesia mahfud2024 majalengka majalengka x26kjacglq bersih kuatkankpk mahfud md
114,TXT0115,sangat bangga bila orang pimpin satu semua partai koalisi laku pak ganjar pranowo benarbenar sangat kagum
115,TXT0116,masbowogbran pasti paling ngerti gimana mebangun investasi patriotisme jadiin harap masyarakat maju indonesia banyakygbalikke02 karenahati baikpakbowo
116,TXT0117,kapan kubu prabowo bodoh rakyat tiand raharjo sangat gelitik benar lihat kubu prabowogibran masif kampanye pilpres satu putar alas hemat uang negara bodoh sekaligus kerdil luar biasa hakhak rakyat mungkin prabowo kalah putar memang sangat besar narasi mudah tebak tutup panik makin dera kubu bayang segala infrastruktur negara pakai mulai aparat hingga jabat kepala daerah libat menang prabowogibran hasil survei mentok tak kunjung capai 50 persen fakta sulit ban tahu beberapa hari lalu sempat viral foto pj gubernur jateng nana jemput prabowo tim kampanye bandara ahmadyani raya hut psi kapasitas prabowo jelas bukan menteri capres percaya nana bakal diam usaha tambal suara prabowo posisi nyata masyarakat tak mudah tekan jadi lapang masyarakat tetap pegang teguh diri tentu siapa sosok layak pimpin negeri prabowo rupa jauh figur harap barangkali bukan jejak masa lalu hitam kinerjakinerjanya justru kerap sodor gagal contoh konkret mangkraknya food estate habis duit negara triliun rakyat baca peristiwa baik lihat langgar pilpres kali paling banyak memang kubu prabowo bukan langgar arogansi kesewenangwenangan lihat beringas mulai main hukum lewat mahkamah konstitusi rusa baliho kubu rival hingga tindakantindakan intimidatif putar dua seluruh akal sehat nalar publik satu bakar semangat cegah kesewenangwenangan kuasa ini bikin kubu prabowo takut bukan main mulai senandung halhal konyol percaya daulat lama ada tangan rakyat tak bendung tekad bara menyalanyala bicara soal logistik kubu prabowo mungkin keteter putar dua kampanye masif baliho tebar dimanamana iklan media sosial nilai biaya sangat fantastis biaya publik figur guna buzzer hasil justru bikin uringuringan geram bukan kepalang laku survei kredibel beberapa kali bahkan sebut temu ada data pilpres jadi satu putar lihat hasil survei peluang besar putar dua prabowo berhadaphadapan ganjar pranowo
117,TXT0118,food estate 110 triliun anggar belanja menhan 1760 triliun beli pesawat mirrage 118 triliun punya tanah 340000 hektar berapa duit gaji receh kaum duafa apa mikir
118,TXT0119,pasang calon presiden wakil presiden nomor urut 3 ganjar pranowo mahfud md taruh perhati sejahtera prajurit tni polri ganjarmahfudrebound ganjarpranowopilihanumat jnk temanalamganjar atikohibunegara bram0901
119,TXT0120,ganjar pranowo bela tni jumpa langsung kunjung daerahdaerah aspirasi mereka wujud ganjar jadi presiden debatcapres2024 debatcapres ganjarmahfud2024 ganjarmahfudm3nangdebat
120,TXT0121,anies baswedan ironis kemenhan pernah bobol hacker tahun 2023
121,TXT0122,anies sebar bohong massif statement anies sebut bohong sangat bengis jahat sengaja mau tebar hoax dar jatuh pak prabowo anggar kemhan besar 700 triliun alutsista bekas omonomon alias omong2 bohong anies sebut anggar kemhan tahun 2023 131 triliun guna sejahtera prajurit rumah dinas didik rumah sakit tentara 30 triliun guna belanja alutsista nah panjang 2020 sd 2024 anggar kemhan besar 680an triliun guna belanja prajurit rumah sejahtera pelihara alutsista rata2 alutsista 15 persen sd 17 persen kira2 besar 102 triliun panjang 2020 sd 2024 terang anies bohong arang jatuh pak prabowo klarifikasi bohong anies debat arti bohong anies sebar seluruh indonesia laku bohong sengaja jahat bagi masyarakat percaya bohong prabowo gibran prabowogibran aniesbaswedan debatcapres indonesiamaju bersamaindonesiamaju dekade08 mendingprabowo terusmajubersamaprabowo
122,TXT0123,curcol buat anies baswedan orang papua rawat satu kebhinekaan warga papua curhat anies baswedanmereka mau sebut separatis warga papua rawat satu kebhinekaan
123,TXT0124,satusatunya hilir paling mungkin jalan prabowogibran kuasa hilir kkn sangat penuh semua prasyarat lancar coblos kalian amburadul total rejim jokowi lanjut part tiga
124,TXT0125,anies hilang otoritas bicara etika debat bicara rekam jejak debat 3 laku bohong publik jatuh rival politik bohong kait belanja alutsista bekas 700 triliun sebut rahasia tahan bahaya mau gadai selamat daulat indonesia kemudian omonomon kait diplomasi internasional pak prabowo datang hadir forum internasional mulai baik kuat domestik tahan kuat ekonomi sejahtera budaya kaya proses diplomasi martabat datang teladan beda mas anies datang diplomasi modal omonomon bak cowok gombal cewek pintar punya kaya bantu sejahtera fakta bokek bohong hormat mau dengar dunia internasional bila
125,TXT0126,ganjar mahfud hebat 3gm coblos3 dulujokowisekarangganjar ganjarmahfud2024 demokrasi toleransi antar umat agama junjung tinggi ganjar mahfud hebat 3gm coblos3
126,TXT0127,anggar belanja kemenhan justru fantastis lama prabowo menhan jauh lbh besar tahun2 2019 pengaruh pandemi hampir anggar belanja kemenhan
127,TXT0128,jamin anies rangkul semua pihak menang liat rekam jejak beliau jadi gubernur kpuberjamaahjegalanies kpuberjamaahjegalanies
128,TXT0129,henti buat narasi akan satu jokowi prabowo lanjut bangun dinasti kuasa solusi baik bangsa justru balik nasakom dulu puji sbg alas satu nyata satu hancur bangsa
129,TXT0130,pak prabowo punya jejak digital langgar ham
130,TXT0131,kait aja prabowo bahas anggar tahan anies bahas uang rakyat depan rakyat teknis sifat rahasia misal kait alat alat ttp kait anggar hrs cerita depan rakyat buka
131,TXT0132,prabowo fokus tingkat terampil tenaga kerja indonesia indonesiakuatindonesiamaju
132,TXT0133,ganjar pranowo gubernur sukses pimpin milik sisi manusia hangat ganjar mahfud hebat coblos3 3gm nazarpemilu ganjarmahfudm3nangdebat
133,TXT0134,lebih paro tni punya rumah bapak menhan 5 tahun sekarang mengatakansaya tingkat sejahtera tni mesti tunjuk bukti apa bapak laku anies debat pilpres ke3 7 januari 2024 cetaaaarrrr desakaniesdesakprabowo
134,TXT0135,rasa sekarang pr besar anies malesmalesan jawab bukan bagi kelompok main isu sara pr besar renti ngomongin isu toleransi ruangruang berac hotelhotel mewah karna intoleransi justru lahir timpang jawab
135,TXT0136,prabowo tamat jokowi selamat
136,TXT0137,wkakakakaka kalian ngepost prabowo kpk bilang korupsi jabat gaji rendah wakakakak malah mau naikin gaji jabat wakakakaka anti tesa prabowo banget kalian
137,TXT0138,tumbuh ekonomi adil jadi fokus utama ganjarmahfud happy new year ganjarmahfud2024 ganjarmahfudm3nang l3bihbaik
138,TXT0139,oposisicerdas rate debat capres perdana akademisi 9 ganjar minus tak nyambung oposisicerdas ganjar mahfud hebat coblos3 3gm ganjarmahfudm3nangdebat debatcapres
139,TXT0140,heboh wni malaysia sulit nyoblos pilih ganjarmahfud milu 2024
140,TXT0141,ganjarmahfud pasti semua orang rasa manfaat tumbuh ekonomi adil happy new year ganjarmahfud2024 3mandatganjarmahfud l3bihbaik
141,TXT0142,patut apresiasi apa ajar aniescondisi ekonomi tara masyarakat efek korupsi terjadiharus masyarakat makmur
142,TXT0143,menteri bumn erick thohir titip tanggung jawab besar jaga satu bangsa indonesia calon presiden nomor urut 2 prabowo subianto patriotprabowo prabowosangperekat prabowosatria
143,TXT0144,ganjarmahfud sikat korupsi tanyajawab capres kpk jawab soal bagaimana berantas korupsi negeri awal komitmen pimpin dasar rekam jejak lanjut tega hukum kuat lembaga berantas korupsi jalan selaras tumbuh ekonomi
144,TXT0145,terus juang sama ganjar mahfud tetap semangat jangan pernah takut duka dalam rawan sleman boyolali lanjut kawal demokrasi ganjarmahfud2024
145,TXT0146,anies tambah pusing wkwkwk padahal visi misi amin udah gamblang sebut tahan negara fokus proyeksi kuat regional internasional eh keluar mulut malah beda wkwkwk
